,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,Middle-Aged, State-gov,"<=375,000", Bachelors,12-16, Never-married, Adm-clerical, Not-in-family, White, Male,Medium Gain,No Loss,20-40hrs, United-States, <=50K
1,Middle-Aged, Self-emp-not-inc,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
2,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Handlers-cleaners, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3,Middle-Aged, Private,"<=375,000", 11th,4-8, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
4,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Wife, Black, Female,No Gain,No Loss,20-40hrs, Cuba, <=50K
5,Middle-Aged, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Exec-managerial, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
6,Middle-Aged, Private,"<=375,000", 9th,4-8, Married-spouse-absent, Other-service, Not-in-family, Black, Female,No Gain,No Loss,0-20hrs, Jamaica, <=50K
7,Middle-Aged, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
8,Middle-Aged, Private,"<=375,000", Masters,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,High Gain,No Loss,40-60hrs, United-States, >50K
9,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, >50K
10,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Exec-managerial, Husband, Black, Male,No Gain,No Loss,60-80hrs, United-States, >50K
11,Middle-Aged, State-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,20-40hrs, India, >50K
12,Young, Private,"<=375,000", Bachelors,12-16, Never-married, Adm-clerical, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
13,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Never-married, Sales, Not-in-family, Black, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
14,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,20-40hrs,, >50K
15,Middle-Aged, Private,"<=375,000", 7th-8th,0-4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,No Gain,No Loss,40-60hrs, Mexico, <=50K
16,Young, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Never-married, Farming-fishing, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
